textDisplay,likeCount,authorDisplayName,authorChannelUrl,authorChannelId,publishedAt,updatedAt
"Dios bendiga la Constitución del 93 en el gobierno de Alberto Fujimori, que le dio absoluta independencia al BCR, y Dios bendiga a Julio Velarde, hombre correcto, preparado, inteligente y sabio, que ha mantenido el equilibrio de nuestra moneda y economía a pesar de los gobiernos destructores de hace más de 20 años...",1,@mariadelacruzdiez-canseco4917,http://www.youtube.com/@mariadelacruzdiez-canseco4917,UCbx9ON9NQHWUcMRCi_i4Fnw,2024-10-10T18:51:42Z,2024-10-10T18:51:42Z
Dios lo colme de bendiciones. Mucha salud y larga vida.  Queremos Julio Velarde para rato ❤🙏,0,@sandy0909W,http://www.youtube.com/@sandy0909W,UCPAMDqLJvxmMNQ2medLRB9w,2024-10-10T18:49:17Z,2024-10-10T18:49:17Z
En Perú no tenemos industria los emprendimientos que abundan son del micro micro enprendedor por ejemplo el que vende sanguchitos en su puerta o el que sube a los buses a vender golosinas,0,@jorgesandovaladrianzen4543,http://www.youtube.com/@jorgesandovaladrianzen4543,UCpAUNi0GxAcv9yczq_FHg_g,2024-10-10T18:46:41Z,2024-10-10T18:46:41Z
"Un placer escuchar al Dr Julio Velarde, es un verdadero capo y los peruanos estamos muy agradecidos por su excelente gestión en el BCRP, gracias a ello vivimos con mucha esperanza e ilusión para continuar progresando",0,@gustavodelpino865,http://www.youtube.com/@gustavodelpino865,UCOSJVO--QCUxu2l5_BzsuQQ,2024-10-10T18:37:58Z,2024-10-10T18:37:58Z
"EL RESPETO DE TODOS LOS PERUANOS A ESTE SEÑOR, QUE GRACIAS A EL TODAVIA PODEMOS VIVIR EN NUESTRO AMADO PAIS, SI QUISIERA SER PRESIDENTE SERIA MUY BUENOS PARA EL PERU",0,@LUISMARTINEZ-ec1rg,http://www.youtube.com/@LUISMARTINEZ-ec1rg,UCFbkvQIlfAuHDc_CgTkuQGg,2024-10-10T18:32:01Z,2024-10-10T18:32:01Z
"😂😂😂 si pero los sueldos de peru son una vergüenza, no alcanza para nada, si bien bcr no tiene culpa del COVID, no tiene la culpa que el gobierno peruano se puso a dar bonos, crear dinero de la nada, y tampoco tiene culpa de de la política de la reserva federal de estados unidos que atravez de su incriminada impresión del dolar que nos importa su inflación a todo el mundo, de verdad este señor cumple su trabajo, lamentablemente los políticos de turno del peru no esta a la altura velarde, la cagan el déficit fiscal, no genera aumento salarial respaldado sobre un plan de contingencia, no ahi un mecanismo y ningún plan de país, solo el peru se vender al por mayor, te hablo que nuestra materias primas.",0,@miaarteaga8425,http://www.youtube.com/@miaarteaga8425,UCkBf7WZn1oc8fYv4XUUWz8w,2024-10-10T18:29:05Z,2024-10-10T18:29:05Z
Bastante basado la verdad,0,@dariol6403,http://www.youtube.com/@dariol6403,UCqiofq-5cQB1pUIc5LYBf1A,2024-10-10T18:20:43Z,2024-10-10T18:20:43Z
"Tremebdo mafioso, inteligente si, porque la sabe hacer, no es un mafioso burro como castillo. Eso se lo reconozco, pero al fin y al cabo es un mafioso mas. El tiempo lo demostrará.",0,@jesussantivanez6296,http://www.youtube.com/@jesussantivanez6296,UCINoBCHzrU8fWFKnNbCfDRA,2024-10-10T18:14:46Z,2024-10-10T18:14:46Z
"CLARO ÉL SEÑOR ES EL PDTE DEL BCR DEL PERÚ, PERO ES EL QUE ACEPTA LAS TASAS DE INTERESES CRIMINALES QUE SE LES IMPONE A LOS PERUANOS. SE PRESTA AL JUEGO POLITICO, PORQUE SI HAY UN CANDIDATO QUE FUERA GANANDO Y NO FUERA DE LA ULTRA DERECHA PERMITE QUE EL DÓLAR SE DISPARE PARA QUE LA GENTE SE ASUSTE Y VOTE POR SU CANDIDATO.<br>CIERTO ES QUE NADA TIENE QUE VER CON LAS OBRAS EN EL AGRO, CON EL POCO O MUCHO TRABAJO, PERO LAS TASAS DE INTERESES NOS AGOBIA Y NO NOS PERMITE CRECER. TENEMOS LA TASA MÁS ALTA EN AMERICA LATINA, AHORA HA DISPUESTO QUE NO HAYA UN MAXIMO PARA PRÉSTAMO. <br>LOS BANCOS MAÑANA, TARDE Y NOCHE REGALAN TARJETAS DE CREDITO INDUCIENDO A ERROR AL PERUANO Y LUEGO ESTÁ COLGADO POR LAS DEUDAS E INTERES QUE SUELEN SER MÁS DEL 100% Y ESE HOMBRE QUE REQUERÍA UNA REFRIGERADORA YA NO TRABAJA DOS TURNOS TRABAJA TRES Y LA MUJER TIENE QUEJAR A LOS HIJOS PARA TRABAJAR PARA PAGAR AL BCO QUE PROTEJE EL PDTE DEL BCR DEL PERÚ. <br>EN OTRAS PALABRAS HACE MÁS RICO A LOS MILLONARIOS Y HACE QUE SE MUERAN DE HAMBRE LOS QUE MENOS TIENEN.<br>JULIO VELARDE TIENE UN PODER POLITICO INDECIFRABLE.<br>SE PUEDE TUMBAR O DESIQUILIBRAR A UN PDTE DE ESTADO.",0,@mirtha5434,http://www.youtube.com/@mirtha5434,UCircla73gjOWDeSNGYz9JKg,2024-10-10T18:12:57Z,2024-10-10T18:15:38Z
Gracias al Dr. Velarde la moneda peruana esta lo más alto del precio. Se merece admiración y respeto por ser un.banquero de ejemplo de admirar. Que Díos  le siga bendiciendo.❤🙏👏👏👏,0,@eldamarietavegasuarez4970,http://www.youtube.com/@eldamarietavegasuarez4970,UCN8RsG4I5uwpO1Y-DOx6Zpg,2024-10-10T18:07:52Z,2024-10-10T18:07:52Z
